"id"	"sampleA"	"sampleB"	"baseMeanA"	"baseMeanB"	"log2FC"	"pval"	"padj"	"sig"
"1"	"AT1G01010.Araport11.447"	"control"	"drought"	77.1585787702976	81.750020918296	-0.0857164730754585	0.807195351218756	0.999985532687444	"notDE"
"2"	"AT1G01020.Araport11.447"	"control"	"drought"	705.804217621922	749.007694740151	-0.0851339241136488	0.793028416663528	0.999985532687444	"notDE"
"3"	"AT1G01030.Araport11.447"	"control"	"drought"	226.234655380603	214.701758401548	0.077003826457203	0.777132742860868	0.999985532687444	"notDE"
"4"	"AT1G01040.Araport11.447"	"control"	"drought"	1230.26516201749	1189.10689246298	0.0493404466776226	0.856236576319271	0.999985532687444	"notDE"
"5"	"AT1G01050.Araport11.447"	"control"	"drought"	1189.83175533754	1163.04792081488	0.032480918082736	0.88908548569842	0.999985532687444	"notDE"
"6"	"AT1G01060.Araport11.447"	"control"	"drought"	1213.77829223242	949.445003229221	0.354276301683345	0.203015601181745	0.999985532687444	"notDE"
"7"	"AT1G01070.Araport11.447"	"control"	"drought"	46.2108220238223	0.476039857713241	6.70345096094317	0.00194792718880263	0.48467988869076	"DE"
"8"	"AT1G01080.Araport11.447"	"control"	"drought"	3658.62217675656	3839.97942706917	-0.0699288958578797	0.740847485488092	0.999985532687444	"notDE"
"9"	"AT1G01090.Araport11.447"	"control"	"drought"	6488.36347648501	7077.88141431014	-0.125503663769171	0.610458513777037	0.999985532687444	"notDE"
"10"	"AT1G01100.Araport11.447"	"control"	"drought"	23049.1591631041	22884.4608134807	0.010329275617336	0.967736533614595	0.999985532687444	"notDE"
"11"	"AT1G01110.Araport11.447"	"control"	"drought"	121.724490956626	103.961471556741	0.23004211744017	0.48866147738152	0.999985532687444	"notDE"
"12"	"AT1G01120.Araport11.447"	"control"	"drought"	581.797367699254	506.785160623805	0.199036712240571	0.399322658118508	0.999985532687444	"notDE"
"13"	"AT1G01130.Araport11.447"	"control"	"drought"	57.4404055934598	43.3050497236033	0.400567492381805	0.396383151727042	0.999985532687444	"notDE"
"14"	"AT1G01140.Araport11.447"	"control"	"drought"	244.200286422214	249.01917946864	-0.0298309149247943	0.922889598260319	0.999985532687444	"notDE"
"15"	"AT1G01150.Araport11.447"	"control"	"drought"	19.8873032763775	23.8624706894857	-0.262987097507278	0.65206677988026	0.999985532687444	"notDE"
"16"	"AT1G01160.Araport11.447"	"control"	"drought"	1012.3596064684	1043.51375113485	-0.0445714663075237	0.835644703901341	0.999985532687444	"notDE"
"17"	"AT1G01170.Araport11.447"	"control"	"drought"	667.863767282893	629.718785439209	0.0840497430944488	0.761208258206379	0.999985532687444	"notDE"
"18"	"AT1G01180.Araport11.447"	"control"	"drought"	9.5779840313243	15.1761468067838	-0.652478596072379	0.427656380657154	0.999985532687444	"notDE"
"19"	"AT1G01190.Araport11.447"	"control"	"drought"	5.91798376715706	0.388672315761498	3.81557153589656	0.0805186618385345	0.999985532687444	"notDE"
"20"	"AT1G01200.Araport11.447"	"control"	"drought"	23.394879678141	23.9498382314375	-0.033399980034547	0.950619866229603	0.999985532687444	"notDE"
"21"	"AT1G01210.Araport11.447"	"control"	"drought"	684.706416158244	697.027452870506	-0.0258676299731346	0.915871271540082	0.999985532687444	"notDE"
"22"	"AT1G01220.Araport11.447"	"control"	"drought"	723.258373544588	684.042192940084	0.0810128985219653	0.716779766519407	0.999985532687444	"notDE"
"23"	"AT1G01225.Araport11.447"	"control"	"drought"	189.977508448858	154.428394801912	0.295200651607697	0.311591710231505	0.999985532687444	"notDE"
"24"	"AT1G01230.Araport11.447"	"control"	"drought"	374.812545091964	331.787371988445	0.175874025889928	0.453924593739556	0.999985532687444	"notDE"
"25"	"AT1G01240.Araport11.447"	"control"	"drought"	109.391142620857	73.898170307157	0.571687243784868	0.14043103694662	0.999985532687444	"notDE"
"26"	"AT1G01250.Araport11.447"	"control"	"drought"	9.74758332233368	4.02225609356394	1.30083068835787	0.187804412615608	0.999985532687444	"notDE"
"27"	"AT1G01260.Araport11.447"	"control"	"drought"	546.827594572986	566.865862647451	-0.0517798365929095	0.783887988991123	0.999985532687444	"notDE"
"28"	"AT1G01290.Araport11.447"	"control"	"drought"	525.95770335644	546.446579078254	-0.05450222528082	0.804252050277707	0.999985532687444	"notDE"
"29"	"AT1G01300.Araport11.447"	"control"	"drought"	2414.02580638149	2119.53610687649	0.188032142223474	0.440211549439643	0.999985532687444	"notDE"
"30"	"AT1G01320.Araport11.447"	"control"	"drought"	12516.7276978355	14277.9541668266	-0.189902113561823	0.405283927689339	0.999985532687444	"notDE"
"31"	"AT1G01340.Araport11.447"	"control"	"drought"	27.7514848831845	27.4176501713791	0.0186694589660531	0.974140387538476	0.999985532687444	"notDE"
"32"	"AT1G01350.Araport11.447"	"control"	"drought"	737.810204976295	810.727007977154	-0.136373490654403	0.512048190691632	0.999985532687444	"notDE"
"33"	"AT1G01360.Araport11.447"	"control"	"drought"	117.120326817249	116.941117404905	0.00399227066517351	0.990575092467142	0.999985532687444	"notDE"
"34"	"AT1G01370.Araport11.447"	"control"	"drought"	1045.4899741494	1046.97378050192	-0.00228458944494508	0.991227109486932	0.999985532687444	"notDE"
"35"	"AT1G01380.Araport11.447"	"control"	"drought"	233.506358069344	205.4005125614	0.184903344192413	0.59496978334828	0.999985532687444	"notDE"
"36"	"AT1G01420.Araport11.447"	"control"	"drought"	15.5815778094183	5.57694535660993	1.48972795574832	0.145971405872408	0.999985532687444	"notDE"
